Filename,CorrectTotalLabel,ProductType_AdultMilk,ProductType_Babyfood,ProductType_Babymilk-powder,ProductType_BeehoonVermicelliMeesua,ProductType_BiscuitsCrackersCookies,ProductType_Book,ProductType_Breakfast-cereals-cornflakes,ProductType_Canned-Packet-Creamers-Sweet,ProductType_CerealBeverage-powder,ProductType_CerealBeverage-powder-,ProductType_ChilliSauce,ProductType_Coffee,ProductType_CornChip,ProductType_FlavoredMilk,ProductType_Flour,ProductType_FruitJuice,ProductType_HoneyOtherSpreads,ProductType_InstantMeals,ProductType_InstantNoodles,ProductType_Kaya,ProductType_MaternalMilkPowder,ProductType_Milo-powder-,ProductType_NutellaChocolate,ProductType_Nuts,ProductType_Oil,ProductType_OtherBakingNeeds,ProductType_OtherDriedFood,ProductType_OtherNoodles,ProductType_OtherSauceDressingSoupbasePaste,ProductType_Pasta,ProductType_Peanutbutter,ProductType_PotatoSticks,ProductType_PotatochipsKeropok,ProductType_Rice(brown-others),ProductType_RolledOatsInstantOatmeal,ProductType_Salt,ProductType_Sardines,ProductType_SoftDrinks,ProductType_Sugar,ProductType_SweetsChocolatesOthers,ProductType_Tea-powder-leaves-,ProductType_WetWiper,Weight_1-99g,Weight_100-199g,Weight_1000-1999g,Weight_200-299g,Weight_300-399g,Weight_3000-3999g,Weight_400-499g,Weight_500-599g,Weight_600-699g,Weight_700-799g,Weight_800-899g,Weight_900-999g,HalalStatus_Halal,HalalStatus_NonHalal,HealthStatus_Healthy,HealthStatus_NonHealthy
IMG_5622_jpeg.rf.5c7a03ff0a0cb96c277f152203cd5058,InstantNoodles_400-499g_Halal_NonHealthy,-1.6647131,-2.7981555,-2.45881,-0.5531302,0.9448608,-4.532377,0.0062631425,-1.6284993,-5.3453455,-2.9151561,-3.7957027,-2.646698,-5.489323,-4.1114345,-4.169546,-3.5359066,-3.0271106,1.2379525,8.624565,-2.1340046,-2.0464985,-3.4532113,-5.2762933,-3.169064,-2.33923,-2.8181775,-4.8034787,-1.464859,-4.7388134,-0.58769673,-2.740191,-2.6016965,-3.2043762,-2.0323012,-2.9369497,-3.5508935,-2.0168543,-5.31028,-3.0663843,-3.5633838,-2.4353244,-3.492587,-1.1550484,-0.5105685,-3.9411871,-1.7820749,-1.6061456,-5.4943466,7.305335,-2.4869442,-2.1122403,-3.2545905,-2.3883944,-3.4715278,4.813393,-4.7322707,-3.6372535,3.4652128
IMG_0392_jpeg.rf.62c9141c5a49f8c5063505069dcf001e,Babyfood_100-199g_NonHalal_NonHealthy,-3.0844011,7.974252,-2.924198,-0.17616947,-0.09492753,-5.9296627,-7.30873,-5.5170274,-4.7492146,-4.053662,-4.668926,-2.4503531,-5.304784,-4.611068,-2.01859,-5.8221083,-3.6804323,-2.2460866,-2.5331883,-5.200837,-2.736961,-4.1013317,-3.4615116,-0.5582604,-6.534537,-2.2863185,-1.2000945,-2.9043174,-0.4655794,-3.075149,-3.9640868,-4.6201553,-3.9074879,-3.0103335,-5.496926,-4.374457,-2.1506913,-6.812001,-4.136956,-2.6710577,-2.266916,-4.1129446,-0.7782186,9.558559,-3.0635276,-0.6804519,-2.61859,-4.86447,-3.831732,-2.868582,-3.6031234,-2.9991555,-5.2608204,-3.0390558,-4.7090616,3.4419448,-4.9947543,4.2173457
20231222_0773,OtherSauceDressingSoupbasePaste_200-299g_NonHalal_NonHealthy,-3.9260912,-0.8996246,-2.7053862,-1.5080118,0.6066278,-4.1199923,-5.140549,-3.8399212,-3.4323537,-3.7274296,-3.0398571,-1.2998432,-3.0238261,-4.027004,-2.7918303,-3.1040015,-2.0431561,-4.1136303,-2.9391131,-2.4649608,-1.9248341,-3.7748919,-2.287877,-2.4915946,-3.1278071,-4.1286707,-1.0391355,-1.0930125,6.927769,-0.47213182,-2.0832672,-3.4747882,-2.508424,-3.2598455,-3.0856357,-2.769511,-2.6592357,-1.0874892,-3.4554062,-0.7621787,-3.082283,-4.041428,-0.6847837,-0.36151743,-3.3422534,7.6559224,-1.9035954,-3.7168543,-2.1671557,-1.1875749,-2.0995042,-2.7303114,-3.2252274,-3.9264371,-4.080504,3.5101852,-3.958445,3.7310543
IMG_5569_jpeg.rf.f35399bc01e11df24e055f1d97019521,BiscuitsCrackersCookies_400-499g_Halal_NonHealthy,-4.091357,-3.39505,-2.178686,-0.99620986,6.527523,-5.3121157,-2.2991133,-1.2746985,-5.149353,-3.0179482,-2.4170263,-1.7737172,-4.8813415,-4.3501678,-2.8016188,-3.927202,-1.8081975,-0.92739195,0.45778912,-1.869873,-3.3441298,-3.8662767,-4.0170503,-4.1827836,-0.8600781,-2.9684398,-4.5702605,-1.3459749,-3.1902373,-1.5539906,-2.6051974,-3.1499228,-3.723891,-1.6723971,-1.3758626,-4.3308797,-2.192474,-4.6076922,-2.0808272,-3.250376,-2.5945265,-4.363971,-2.1388524,-0.29766232,-2.4017403,0.31006947,-0.35846165,-4.9933357,6.125526,-2.8625393,-3.0470982,-3.9207795,-1.8315684,-3.947245,3.5233307,-4.234161,-4.418704,4.0856185
IMG_6928_jpeg.rf.a61c9ec76053a25a00926fd7a03e370c,Flour_1000-1999g_Halal_NonHealthy,0.3204286,-1.1034843,-3.5414689,0.7909412,-0.4583409,-5.184707,-3.330785,-4.7893972,-4.383685,-1.7394654,-4.5007815,-2.7008605,-4.2177234,-2.6341336,7.9103312,-4.3582954,-5.1755567,-3.348647,-3.7627697,-4.5952897,-4.9684896,-5.084725,-5.8317933,-2.2306256,-1.8783754,0.78423244,-4.7082896,-2.207467,-3.2699478,-2.7532506,-3.78282,-3.4029853,-2.9257176,-3.547486,0.49626476,-3.1237092,-5.1702895,-6.0531635,-0.72118944,-2.057352,-3.814808,-3.6628103,-1.7605695,-2.1965842,8.845209,-1.5796678,-2.9769924,-2.9038591,-2.542301,-1.5130842,-2.0986848,-4.4509187,-1.9230283,-0.067454144,2.1457214,-3.2513192,-4.7650948,3.9041672
output_frame_0154,Pasta_500-599g_NonHalal_NonHealthy,-3.8676271,-2.4180808,-2.1681304,-2.1612566,-0.07731653,-3.2607248,-4.738017,-4.706741,-3.0468059,-4.3887367,-3.4508455,-3.7828584,-1.1829101,-4.61422,-3.4604964,-4.2908616,-1.9821496,-4.9317365,-2.9001803,-3.1473927,-1.9654404,-3.1047544,-2.2675858,-2.4679558,-3.883075,-2.0607715,-2.59733,0.35495982,-1.7693338,6.0803103,-1.9245008,-4.020643,-1.6540616,-3.3703694,-2.711229,-0.07571421,-3.8560455,-4.2344937,-1.5972121,0.38028258,-3.334756,-1.5242493,-0.8534411,-1.2646582,-3.4338317,-1.0084066,-0.5961474,-2.481056,-0.09689202,5.3587,-2.5888066,-3.2529635,-2.7864935,-3.267332,-5.2272134,4.47359,-4.4215484,4.5324955
Sardines_400-499g_0311_Halal_13_png.rf.8b420132cb72a5742b771d9a884794b8,Sardines_400-499g_Halal_NonHealthy,-4.374761,0.113997094,1.2597674,-2.0160105,-0.9391321,-5.6906304,-3.487829,-0.52609926,-6.666506,-4.096537,-3.132222,-1.8650734,-4.8196025,-4.1088953,-4.3300633,-4.7435155,-2.0590885,-1.1345091,-2.1487494,-1.8377014,-2.1055627,-3.1180656,-4.8951955,-3.432943,-4.2694063,-1.1639271,-5.8191237,-3.4017549,-1.5484046,-1.6636151,-0.028623216,-3.8092582,-4.782388,-3.1015193,-2.9844093,-4.8363295,9.069429,-4.414608,-3.0923314,-2.4458103,-3.417533,-5.066217,-0.7731529,0.47995263,-4.6391296,-1.8266542,-2.2942924,-6.192824,8.056484,-2.947941,-5.2212086,-3.6927881,-0.0019214926,-3.6921833,3.6336265,-4.213647,-3.7095559,3.3826694
20231222_0412,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,-3.4107351,-1.3164556,-1.4924563,-2.06779,-0.39850602,-5.660605,-4.5838,-3.0458627,-3.8665376,-2.6577601,-3.8812277,-0.73906434,-3.7311213,-4.5772767,-3.5267735,-2.6005366,-3.4737124,-1.3918401,-2.784196,-1.9334794,-3.4676492,-4.537245,-5.7298856,-1.7378395,-3.2910042,-2.9328277,-2.701576,-1.8684245,-1.4332696,-1.1455241,-2.904767,-4.0699534,-3.6910455,-3.8025486,-2.6048017,-3.094108,-2.8350604,-0.6892813,-0.65459746,8.444494,-2.2424753,-4.217536,-2.076036,-1.1977226,-4.2900047,8.416278,-2.6375406,-3.5543535,-0.82604194,-2.5648413,-2.5952384,-2.4134305,-1.4058688,-3.401129,4.0474052,-4.519026,-4.912876,4.4303875
IMG_0813_jpeg.rf.18cb7c4f3b7f53b9cdd8b83361c4a951,InstantNoodles_100-199g_NonHalal_NonHealthy,-5.2783947,-1.3700825,-5.302059,-0.33057868,1.1867703,-5.3194957,-4.3726053,-3.9299648,-6.726734,-5.6479244,-4.9567976,-1.6799958,-4.9223385,-5.694999,-4.5534763,-4.6903706,-1.897986,2.269259,7.043376,-3.257312,-2.647563,-3.3311079,-2.958719,-0.97841233,-6.1362243,-4.126587,-0.27845076,-1.9608078,-3.620058,-1.5117681,-4.641016,-3.9413412,-3.0640316,-3.3500545,-6.038154,-4.2024784,-0.63952136,-6.2198873,-3.8791366,-1.0260835,-1.6022638,-2.1744232,-1.26076,11.424697,-5.538467,0.07007797,-3.4943428,-4.5473204,0.26176056,-3.5572064,-4.664348,-3.8383873,-4.261877,-5.501318,-4.626196,4.2457857,-5.664926,5.571921
20231222_0177,OtherDriedFood_100-199g_NonHalal_NonHealthy,-4.010057,-1.4608886,-3.8862839,-0.21256362,-0.6007689,-3.7593982,-4.05968,-4.113883,-4.798841,-4.3519034,-3.6565757,-1.4878933,-3.3412964,-3.0616877,-2.8225584,-1.1184757,-1.7066667,-1.4887589,-0.5146915,-3.8076198,-3.0453057,-1.5649601,-2.7944996,-1.3863803,-3.4538574,-2.0246308,8.661894,-1.1630222,-1.1391716,-0.43598664,-3.3873372,-3.1524122,-2.3339775,-3.0719507,-3.2059307,-0.3766944,-2.0445015,-3.2589052,-1.7808439,0.20160656,-2.395811,-1.2295126,-1.5730437,7.237206,-2.9342613,-0.545147,-2.5397117,-2.0835233,-1.3914562,-0.56630856,-3.6771362,-1.2081857,-2.587367,-3.3961146,-4.4422855,3.879648,-4.071145,3.892517
Sardines_400-499g_0311_Halal_5_png.rf.0dfb0015de4a1f26e1f8a0762ef65abd,Sardines_400-499g_Halal_NonHealthy,-3.7219024,-0.99042773,-0.40125638,-1.4163463,0.6213549,-5.2550464,-3.272461,-1.1203291,-6.335196,-3.0962033,-2.810736,-1.8838154,-4.9706564,-4.153101,-3.6496081,-4.5828767,-1.1152587,-1.2821804,-1.8013672,-2.108256,-2.193501,-3.1367593,-4.646434,-3.4459372,-3.5569072,-1.9791607,-5.701439,-2.5780337,-1.1625361,-2.1913168,-0.8817734,-3.0487926,-4.137005,-2.8013425,-1.6932145,-4.755165,8.400625,-4.6074862,-2.6609552,-2.4101396,-3.2477143,-4.871629,-0.48298797,0.12542799,-3.7459955,-2.2907314,-1.6727,-5.674254,7.1088257,-2.0032692,-4.5137873,-4.0479927,0.22188953,-3.7312028,3.4652615,-4.16247,-3.697667,3.5402703
IMG_5647_jpeg.rf.86a8d43975ccb2ee15f48846627f9602,InstantNoodles_400-499g_Halal_NonHealthy,-2.3016295,-3.449612,-3.298618,-0.6805694,1.3474766,-4.6856513,-0.25699508,-1.5998435,-5.5967116,-2.7782881,-3.6280632,-2.5027971,-5.2866206,-4.339457,-4.2330694,-3.15183,-3.2951982,1.0081662,8.266974,-1.744583,-2.2346737,-3.6435897,-5.225551,-3.3096552,-1.5493847,-2.9966133,-4.280793,0.08162863,-4.25243,-0.7095034,-3.2697124,-2.3493304,-3.521735,-1.8816082,-2.7683787,-3.1845658,-3.0399535,-4.9250193,-2.7766502,-2.9556699,-2.6818876,-3.4270961,-1.1104652,-0.85623616,-4.25186,-0.4210521,-1.7779397,-5.2511945,6.639575,-2.2600567,-1.6033016,-2.931246,-2.8868823,-3.615535,4.8869333,-4.908554,-4.1601577,4.017762
2023_10_25_11_27_36_553063,AdultMilk_500-599g_NonHalal_Healthy,9.633732,-1.865781,-0.8510641,-2.5576031,-1.8672211,-4.8781776,-3.6727967,-8.242634,-1.0382197,-0.9783014,-4.850654,-5.6849766,-7.4690213,-2.0718644,-4.6674476,-8.477147,-5.886375,-6.8043685,-3.538466,-7.71858,1.4763498,-2.6407444,-5.3895507,-3.8271477,-4.663334,-3.4951012,-5.736645,0.07911787,-3.8651264,-2.8757575,-5.604148,-5.617595,-2.9716418,-3.9666493,0.09487277,-3.138926,-7.855843,-6.7528787,-5.709012,-3.4863381,-3.7504966,-4.6942496,-1.3563855,-0.99125606,-1.2686391,-4.6567144,-3.007089,-6.6121273,-2.3128464,8.7447815,-0.045326702,-3.2471845,-2.2492266,-2.3154938,-4.3824754,3.7344034,2.3390186,-4.04063
output_frame_0240,Rice(brown-others)_400-499g_Halal_NonHealthy,-2.08437,-2.514825,-3.320502,-1.9804951,1.7787188,0.060140055,-3.1702135,-2.3443835,-3.1210067,-3.5559366,-3.3788898,-3.1874962,-0.11989049,-3.5387192,-2.9194226,-3.1883528,-2.6300416,-2.8954906,-2.131721,-2.018539,-2.1178637,-3.5950994,-3.424435,-2.3342237,-2.7927568,-3.7812586,-3.967942,-3.5706663,-2.0446763,-1.0975842,-3.2329106,6.417165,-2.5538979,4.8736258,0.23900378,-3.8977113,-2.441967,-3.4074917,-3.2136822,-2.3812783,-2.5994759,-0.39478377,4.61952,0.7375476,-3.4673984,-2.4046142,-1.8229903,-4.955717,2.6928186,-1.5690036,-3.4274163,-2.2639565,-3.5982628,-3.1406417,1.5376854,-2.509261,-3.0367892,2.2009706
IMG_7022_jpeg.rf.745880a4e1b20cf19d920dcdbde3bdb3,SweetsChocolatesOthers_100-199g_NonHalal_NonHealthy,-3.8094149,2.4895341,-4.0938497,0.40013853,-0.025332205,-5.622316,-7.1169615,-6.1722593,-4.647047,-5.015357,-4.9959626,-2.529987,-4.144971,-5.3403563,-1.156044,-6.5655437,-3.329534,-2.1143079,-3.510176,-4.1567793,-4.50217,-4.5879536,-4.3218665,-0.33903563,-6.5098877,-1.540073,-1.4085155,-1.8021194,-2.7938223,-2.215402,-4.2682104,-4.940785,-4.5028205,-4.4665256,-4.839823,-3.3731384,-2.960943,-6.054583,-0.013939936,9.021704,-1.3657831,-2.876189,-2.003905,8.205378,-3.1371102,0.7988706,-2.944849,-1.3568634,-3.8886745,-1.0357054,-4.1784143,-4.22644,-4.6012707,-2.8167005,-4.9499626,4.186981,-5.941825,5.422593
IMG_3351_jpeg.rf.30eae972321c3a6d94b756a4d0e6eb57,Nuts_100-199g_Halal_NonHealthy,-3.1320932,-1.3931487,-2.6982746,-0.595078,0.34843317,-4.4241123,-1.9138318,-4.21497,-3.6609473,-0.819542,-2.5423677,-1.8401423,-5.2187214,-2.6683102,-2.653422,-4.0056105,-2.958036,-0.4376552,-1.8302672,-3.4307783,-3.5549366,-4.5350146,-5.1107445,8.185498,-2.8031752,-1.9802623,-3.7215753,-1.6323174,-2.5097601,-2.0259168,-4.0119348,-3.3156235,-0.65804917,-3.744547,-2.1711338,-3.6791868,-3.4301498,-5.1546326,-3.3445592,-2.8842556,-1.6281978,-3.5774724,0.46774617,5.307474,-2.4360352,-2.9993188,0.8665168,-5.1095643,-1.800948,-1.8572177,-2.013107,-3.2815866,-3.4235156,-2.5061846,3.352261,-4.493657,-2.0484214,1.9805917
