prd_type,xmin,ymin,xmax,ymax,filename,tmp_img_file_path,halal
Baked beans_400-499g,236,98,439,353,Baked beans_400-499g_d15.png,Baked beans_400-499g/Baked beans_400-499g_d15.png,N
Baked beans_400-499g,412,123,704,567,Baked beans_400-499g_d2.png,Baked beans_400-499g/Baked beans_400-499g_d2.png,N
Baked beans_400-499g,451,115,770,566,Baked beans_400-499g_d3.png,Baked beans_400-499g/Baked beans_400-499g_d3.png,N
Baked beans_400-499g,282,88,484,369,Baked beans_400-499g_d4.png,Baked beans_400-499g/Baked beans_400-499g_d4.png,N
Baked beans_400-499g,272,81,474,358,Baked beans_400-499g_d5.png,Baked beans_400-499g/Baked beans_400-499g_d5.png,N
Baked beans_400-499g,271,74,476,353,Baked beans_400-499g_d6.png,Baked beans_400-499g/Baked beans_400-499g_d6.png,N
Baked beans_400-499g,292,84,486,370,Baked beans_400-499g_d7.png,Baked beans_400-499g/Baked beans_400-499g_d7.png,N
Baked beans_400-499g,283,86,468,362,Baked beans_400-499g_d8.png,Baked beans_400-499g/Baked beans_400-499g_d8.png,N
Baked beans_400-499g,274,100,466,367,Baked beans_400-499g_d9.png,Baked beans_400-499g/Baked beans_400-499g_d9.png,N
Baked beans_400-499g,343,189,608,551,Baked beans_400-499g_e1.png,Baked beans_400-499g/Baked beans_400-499g_e1.png,N
Baked beans_400-499g,221,104,488,534,Baked beans_400-499g_e10.png,Baked beans_400-499g/Baked beans_400-499g_e10.png,N
Baked beans_400-499g,361,203,606,571,Baked beans_400-499g_e11.png,Baked beans_400-499g/Baked beans_400-499g_e11.png,N
Baked beans_400-499g,375,198,579,456,Baked beans_400-499g_e12.png,Baked beans_400-499g/Baked beans_400-499g_e12.png,N
Baked beans_400-499g,399,108,688,518,Baked beans_400-499g_e13.png,Baked beans_400-499g/Baked beans_400-499g_e13.png,N
Baked beans_400-499g,235,112,512,543,Baked beans_400-499g_e14.png,Baked beans_400-499g/Baked beans_400-499g_e14.png,N
Baked beans_400-499g,225,121,522,539,Baked beans_400-499g_e15.png,Baked beans_400-499g/Baked beans_400-499g_e15.png,N
Baked beans_400-499g,364,152,657,539,Baked beans_400-499g_e16.png,Baked beans_400-499g/Baked beans_400-499g_e16.png,N
Baked beans_400-499g,381,206,659,538,Baked beans_400-499g_e17.png,Baked beans_400-499g/Baked beans_400-499g_e17.png,N
Baked beans_400-499g,438,224,762,714,Baked beans_400-499g_e2.png,Baked beans_400-499g/Baked beans_400-499g_e2.png,N
Baked beans_400-499g,365,114,654,563,Baked beans_400-499g_e3.png,Baked beans_400-499g/Baked beans_400-499g_e3.png,N
Baked beans_400-499g,430,108,717,541,Baked beans_400-499g_e4.png,Baked beans_400-499g/Baked beans_400-499g_e4.png,N
Baked beans_400-499g,440,96,741,579,Baked beans_400-499g_e5.png,Baked beans_400-499g/Baked beans_400-499g_e5.png,N
Baked beans_400-499g,391,116,641,508,Baked beans_400-499g_e6.png,Baked beans_400-499g/Baked beans_400-499g_e6.png,N
Baked beans_400-499g,483,153,687,456,Baked beans_400-499g_e7.png,Baked beans_400-499g/Baked beans_400-499g_e7.png,N
Baked beans_400-499g,443,133,698,529,Baked beans_400-499g_e8.png,Baked beans_400-499g/Baked beans_400-499g_e8.png,N
Baked beans_400-499g,378,128,634,563,Baked beans_400-499g_e9.png,Baked beans_400-499g/Baked beans_400-499g_e9.png,N
cookies_100g-199g,27,147,261,250,Cookies_100-199g_0311_Halal_1.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_1.png,Y
cookies_100g-199g,62,282,239,360,Cookies_100-199g_0311_Halal_10.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_10.png,Y
cookies_100g-199g,82,90,226,294,Cookies_100-199g_0311_Halal_2.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_2.png,Y
cookies_100g-199g,85,99,250,344,Cookies_100-199g_0311_Halal_3.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_3.png,Y
cookies_100g-199g,88,102,239,290,Cookies_100-199g_0311_Halal_4.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_4.png,Y
cookies_100g-199g,42,137,244,269,Cookies_100-199g_0311_Halal_5.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_5.png,Y
cookies_100g-199g,32,114,253,249,Cookies_100-199g_0311_Halal_6.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_6.png,Y
cookies_100g-199g,68,136,276,297,Cookies_100-199g_0311_Halal_7.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_7.png,Y
cookies_100g-199g,28,128,208,296,Cookies_100-199g_0311_Halal_8.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_8.png,Y
cookies_100g-199g,78,141,263,241,Cookies_100-199g_0311_Halal_9.png,cookies_100g-199g/Cookies_100-199g_0311_Halal_9.png,Y
cookies_100g-199g,57,108,253,322,Cookies_100-199g_0311_NonHalal_1.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_1.png,N
cookies_100g-199g,38,308,274,387,Cookies_100-199g_0311_NonHalal_10.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_10.png,N
cookies_100g-199g,119,94,278,314,Cookies_100-199g_0311_NonHalal_2.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_2.png,N
cookies_100g-199g,22,114,170,301,Cookies_100-199g_0311_NonHalal_3.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_3.png,N
cookies_100g-199g,59,145,258,327,Cookies_100-199g_0311_NonHalal_4.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_4.png,N
cookies_100g-199g,75,221,202,345,Cookies_100-199g_0311_NonHalal_5.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_5.png,N
cookies_100g-199g,31,161,292,243,Cookies_100-199g_0311_NonHalal_6.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_6.png,N
cookies_100g-199g,73,160,244,232,Cookies_100-199g_0311_NonHalal_7.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_7.png,N
cookies_100g-199g,38,134,258,243,Cookies_100-199g_0311_NonHalal_8.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_8.png,N
cookies_100g-199g,36,105,280,177,Cookies_100-199g_0311_NonHalal_9.png,cookies_100g-199g/Cookies_100-199g_0311_NonHalal_9.png,N
cookies_100g-199g,25,107,899,386,cookies_100g-199g_1.png,cookies_100g-199g/cookies_100g-199g_1.png,N
cookies_100g-199g,37,301,880,571,cookies_100g-199g_10.png,cookies_100g-199g/cookies_100g-199g_10.png,N
cookies_100g-199g,25,133,879,401,cookies_100g-199g_3.png,cookies_100g-199g/cookies_100g-199g_3.png,N
cookies_100g-199g,55,268,833,676,cookies_100g-199g_31.png,cookies_100g-199g/cookies_100g-199g_31.png,Y
cookies_100g-199g,86,213,836,607,cookies_100g-199g_32.png,cookies_100g-199g/cookies_100g-199g_32.png,Y
cookies_100g-199g,76,176,843,572,cookies_100g-199g_33.png,cookies_100g-199g/cookies_100g-199g_33.png,Y
cookies_100g-199g,69,280,821,689,cookies_100g-199g_34.png,cookies_100g-199g/cookies_100g-199g_34.png,Y
cookies_100g-199g,94,291,794,685,cookies_100g-199g_35.png,cookies_100g-199g/cookies_100g-199g_35.png,Y
cookies_100g-199g,79,141,846,542,cookies_100g-199g_36.png,cookies_100g-199g/cookies_100g-199g_36.png,Y
cookies_100g-199g,71,370,786,764,cookies_100g-199g_37.png,cookies_100g-199g/cookies_100g-199g_37.png,Y
cookies_100g-199g,62,188,828,582,cookies_100g-199g_38.png,cookies_100g-199g/cookies_100g-199g_38.png,Y
cookies_100g-199g,60,162,762,551,cookies_100g-199g_39.png,cookies_100g-199g/cookies_100g-199g_39.png,Y
cookies_100g-199g,25,377,894,663,cookies_100g-199g_4.png,cookies_100g-199g/cookies_100g-199g_4.png,N
cookies_100g-199g,108,348,761,738,cookies_100g-199g_40.png,cookies_100g-199g/cookies_100g-199g_40.png,Y
cookies_100g-199g,46,324,897,594,cookies_100g-199g_5.png,cookies_100g-199g/cookies_100g-199g_5.png,N
cookies_100g-199g,36,176,885,441,cookies_100g-199g_6.png,cookies_100g-199g/cookies_100g-199g_6.png,N
cookies_100g-199g,33,366,898,651,cookies_100g-199g_7.png,cookies_100g-199g/cookies_100g-199g_7.png,N
cookies_100g-199g,26,271,891,554,cookies_100g-199g_8.png,cookies_100g-199g/cookies_100g-199g_8.png,N
cookies_100g-199g,42,387,901,663,cookies_100g-199g_9.png,cookies_100g-199g/cookies_100g-199g_9.png,N
cookies_100g-199g,82,130,759,1110,cookies_100g-199g_a1.png,cookies_100g-199g/cookies_100g-199g_a1.png,Y
cookies_100g-199g,67,41,1264,859,cookies_100g-199g_a10.png,cookies_100g-199g/cookies_100g-199g_a10.png,Y
cookies_100g-199g,148,207,782,1003,cookies_100g-199g_a11.png,cookies_100g-199g/cookies_100g-199g_a11.png,N
cookies_100g-199g,37,74,695,961,cookies_100g-199g_a12.png,cookies_100g-199g/cookies_100g-199g_a12.png,Y
cookies_100g-199g,7,24,584,790,cookies_100g-199g_a13.png,cookies_100g-199g/cookies_100g-199g_a13.png,Y
cookies_100g-199g,42,25,1223,735,cookies_100g-199g_a14.png,cookies_100g-199g/cookies_100g-199g_a14.png,Y
cookies_100g-199g,172,194,1421,889,cookies_100g-199g_a15.png,cookies_100g-199g/cookies_100g-199g_a15.png,Y
cookies_100g-199g,143,190,769,1029,cookies_100g-199g_a16.png,cookies_100g-199g/cookies_100g-199g_a16.png,N
cookies_100g-199g,141,231,1382,945,cookies_100g-199g_a17.png,cookies_100g-199g/cookies_100g-199g_a17.png,Y
cookies_100g-199g,187,234,1315,889,cookies_100g-199g_a18.png,cookies_100g-199g/cookies_100g-199g_a18.png,Y
cookies_100g-199g,154,171,782,993,cookies_100g-199g_a19.png,cookies_100g-199g/cookies_100g-199g_a19.png,N
cookies_100g-199g,92,193,705,1054,cookies_100g-199g_a2.png,cookies_100g-199g/cookies_100g-199g_a2.png,Y
cookies_100g-199g,155,259,1404,992,cookies_100g-199g_a20.png,cookies_100g-199g/cookies_100g-199g_a20.png,Y
cookies_100g-199g,157,240,1384,948,cookies_100g-199g_a21.png,cookies_100g-199g/cookies_100g-199g_a21.png,Y
cookies_100g-199g,141,181,757,1007,cookies_100g-199g_a22.png,cookies_100g-199g/cookies_100g-199g_a22.png,N
cookies_100g-199g,128,145,735,964,cookies_100g-199g_a23.png,cookies_100g-199g/cookies_100g-199g_a23.png,N
cookies_100g-199g,67,128,1452,1068,cookies_100g-199g_a24.png,cookies_100g-199g/cookies_100g-199g_a24.png,Y
cookies_100g-199g,129,236,1310,968,cookies_100g-199g_a25.png,cookies_100g-199g/cookies_100g-199g_a25.png,Y
cookies_100g-199g,137,131,1333,1045,cookies_100g-199g_a26.png,cookies_100g-199g/cookies_100g-199g_a26.png,Y
cookies_100g-199g,129,98,1451,990,cookies_100g-199g_a27.png,cookies_100g-199g/cookies_100g-199g_a27.png,Y
cookies_100g-199g,135,186,1337,879,cookies_100g-199g_a28.png,cookies_100g-199g/cookies_100g-199g_a28.png,Y
cookies_100g-199g,90,125,1434,1001,cookies_100g-199g_a29.png,cookies_100g-199g/cookies_100g-199g_a29.png,Y
cookies_100g-199g,36,109,717,1081,cookies_100g-199g_a3.png,cookies_100g-199g/cookies_100g-199g_a3.png,Y
cookies_100g-199g,150,151,1375,986,cookies_100g-199g_a30.png,cookies_100g-199g/cookies_100g-199g_a30.png,Y
cookies_100g-199g,83,161,1407,961,cookies_100g-199g_a31.png,cookies_100g-199g/cookies_100g-199g_a31.png,Y
cookies_100g-199g,126,93,1388,936,cookies_100g-199g_a32.png,cookies_100g-199g/cookies_100g-199g_a32.png,Y
cookies_100g-199g,83,80,1434,980,cookies_100g-199g_a33.png,cookies_100g-199g/cookies_100g-199g_a33.png,Y
cookies_100g-199g,77,168,724,1051,cookies_100g-199g_a4.png,cookies_100g-199g/cookies_100g-199g_a4.png,Y
cookies_100g-199g,127,190,1371,936,cookies_100g-199g_a5.png,cookies_100g-199g/cookies_100g-199g_a5.png,Y
cookies_100g-199g,89,106,768,1068,cookies_100g-199g_a6.png,cookies_100g-199g/cookies_100g-199g_a6.png,Y
cookies_100g-199g,48,75,737,1066,cookies_100g-199g_a7.png,cookies_100g-199g/cookies_100g-199g_a7.png,Y
cookies_100g-199g,239,256,1374,952,cookies_100g-199g_a8.png,cookies_100g-199g/cookies_100g-199g_a8.png,Y
cookies_100g-199g,93,102,1332,988,cookies_100g-199g_a9.png,cookies_100g-199g/cookies_100g-199g_a9.png,Y
cookies_100g-199g,72,280,761,685,cookies_100g-199g_b1.png,cookies_100g-199g/cookies_100g-199g_b1.png,Y
cookies_100g-199g,53,210,780,622,cookies_100g-199g_b2.png,cookies_100g-199g/cookies_100g-199g_b2.png,Y
cookies_100g-199g,114,56,562,333,cookies_100g-199g_d1.png,cookies_100g-199g/cookies_100g-199g_d1.png,Y
cookies_100g-199g,118,61,562,361,cookies_100g-199g_d10.png,cookies_100g-199g/cookies_100g-199g_d10.png,Y
cookies_100g-199g,40,37,607,219,cookies_100g-199g_d11.png,cookies_100g-199g/cookies_100g-199g_d11.png,N
cookies_100g-199g,45,42,591,225,cookies_100g-199g_d12.png,cookies_100g-199g/cookies_100g-199g_d12.png,N
cookies_100g-199g,46,42,593,221,cookies_100g-199g_d13.png,cookies_100g-199g/cookies_100g-199g_d13.png,N
cookies_100g-199g,59,59,608,231,cookies_100g-199g_d14.png,cookies_100g-199g/cookies_100g-199g_d14.png,N
cookies_100g-199g,67,64,615,232,cookies_100g-199g_d15.png,cookies_100g-199g/cookies_100g-199g_d15.png,N
cookies_100g-199g,56,100,296,370,cookies_100g-199g_d16.png,cookies_100g-199g/cookies_100g-199g_d16.png,N
cookies_100g-199g,57,105,296,365,cookies_100g-199g_d17.png,cookies_100g-199g/cookies_100g-199g_d17.png,N
cookies_100g-199g,66,112,299,357,cookies_100g-199g_d18.png,cookies_100g-199g/cookies_100g-199g_d18.png,N
cookies_100g-199g,65,107,295,376,cookies_100g-199g_d19.png,cookies_100g-199g/cookies_100g-199g_d19.png,N
cookies_100g-199g,112,46,559,333,cookies_100g-199g_d2.png,cookies_100g-199g/cookies_100g-199g_d2.png,Y
cookies_100g-199g,100,110,339,374,cookies_100g-199g_d20.png,cookies_100g-199g/cookies_100g-199g_d20.png,N
cookies_100g-199g,76,103,312,370,cookies_100g-199g_d21.png,cookies_100g-199g/cookies_100g-199g_d21.png,N
cookies_100g-199g,107,47,551,336,cookies_100g-199g_d3.png,cookies_100g-199g/cookies_100g-199g_d3.png,Y
cookies_100g-199g,114,51,551,333,cookies_100g-199g_d4.png,cookies_100g-199g/cookies_100g-199g_d4.png,Y
cookies_100g-199g,106,47,542,330,cookies_100g-199g_d5.png,cookies_100g-199g/cookies_100g-199g_d5.png,Y
cookies_100g-199g,125,60,567,349,cookies_100g-199g_d6.png,cookies_100g-199g/cookies_100g-199g_d6.png,Y
cookies_100g-199g,105,50,550,351,cookies_100g-199g_d7.png,cookies_100g-199g/cookies_100g-199g_d7.png,Y
cookies_100g-199g,121,54,557,349,cookies_100g-199g_d8.png,cookies_100g-199g/cookies_100g-199g_d8.png,Y
cookies_100g-199g,113,68,561,365,cookies_100g-199g_d9.png,cookies_100g-199g/cookies_100g-199g_d9.png,Y
cookies_100g-199g,209,116,836,488,cookies_100g-199g_e1.png,cookies_100g-199g/cookies_100g-199g_e1.png,Y
cookies_100g-199g,126,170,957,418,cookies_100g-199g_e10.png,cookies_100g-199g/cookies_100g-199g_e10.png,N
cookies_100g-199g,226,188,932,373,cookies_100g-199g_e11.png,cookies_100g-199g/cookies_100g-199g_e11.png,N
cookies_100g-199g,75,196,775,406,cookies_100g-199g_e12.png,cookies_100g-199g/cookies_100g-199g_e12.png,N
cookies_100g-199g,129,202,900,441,cookies_100g-199g_e13.png,cookies_100g-199g/cookies_100g-199g_e13.png,N
cookies_100g-199g,87,164,832,366,cookies_100g-199g_e14.png,cookies_100g-199g/cookies_100g-199g_e14.png,N
cookies_100g-199g,409,207,688,560,cookies_100g-199g_e15.png,cookies_100g-199g/cookies_100g-199g_e15.png,N
cookies_100g-199g,540,148,894,569,cookies_100g-199g_e16.png,cookies_100g-199g/cookies_100g-199g_e16.png,N
cookies_100g-199g,256,147,600,555,cookies_100g-199g_e17.png,cookies_100g-199g/cookies_100g-199g_e17.png,N
cookies_100g-199g,288,156,636,558,cookies_100g-199g_e18.png,cookies_100g-199g/cookies_100g-199g_e18.png,N
cookies_100g-199g,249,172,641,517,cookies_100g-199g_e19.png,cookies_100g-199g/cookies_100g-199g_e19.png,N
cookies_100g-199g,246,111,865,518,cookies_100g-199g_e2.png,cookies_100g-199g/cookies_100g-199g_e2.png,Y
cookies_100g-199g,227,157,780,483,cookies_100g-199g_e20.png,cookies_100g-199g/cookies_100g-199g_e20.png,Y
cookies_100g-199g,113,110,720,520,cookies_100g-199g_e3.png,cookies_100g-199g/cookies_100g-199g_e3.png,Y
cookies_100g-199g,223,135,849,487,cookies_100g-199g_e4.png,cookies_100g-199g/cookies_100g-199g_e4.png,Y
cookies_100g-199g,273,158,785,436,cookies_100g-199g_e5.png,cookies_100g-199g/cookies_100g-199g_e5.png,Y
cookies_100g-199g,252,170,836,509,cookies_100g-199g_e6.png,cookies_100g-199g/cookies_100g-199g_e6.png,Y
cookies_100g-199g,231,148,736,433,cookies_100g-199g_e7.png,cookies_100g-199g/cookies_100g-199g_e7.png,Y
cookies_100g-199g,115,180,709,552,cookies_100g-199g_e8.png,cookies_100g-199g/cookies_100g-199g_e8.png,Y
cookies_100g-199g,189,161,789,483,cookies_100g-199g_e9.png,cookies_100g-199g/cookies_100g-199g_e9.png,Y
cookies_1g-99g,127,91,214,309,Cookies_1-99g_0311_Halal_1.png,cookies_1g-99g/Cookies_1-99g_0311_Halal_1.png,Y
cookies_1g-99g,153,82,240,293,Cookies_1-99g_0311_Halal_2.png,cookies_1g-99g/Cookies_1-99g_0311_Halal_2.png,Y
cookies_1g-99g,70,67,171,305,Cookies_1-99g_0311_Halal_3.png,cookies_1g-99g/Cookies_1-99g_0311_Halal_3.png,Y
cookies_1g-99g,111,98,182,277,Cookies_1-99g_0311_Halal_4.png,cookies_1g-99g/Cookies_1-99g_0311_Halal_4.png,Y
cookies_1g-99g,143,175,216,393,Cookies_1-99g_0311_Halal_5.png,cookies_1g-99g/Cookies_1-99g_0311_Halal_5.png,Y
cookies_1g-99g,42,148,265,294,Cookies_1-99g_0311_NonHalal_1.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_1.png,N
cookies_1g-99g,78,165,214,284,Cookies_1-99g_0311_NonHalal_10.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_10.png,N
cookies_1g-99g,93,152,276,304,Cookies_1-99g_0311_NonHalal_2.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_2.png,N
cookies_1g-99g,45,127,212,273,Cookies_1-99g_0311_NonHalal_3.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_3.png,N
cookies_1g-99g,41,134,262,244,Cookies_1-99g_0311_NonHalal_4.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_4.png,N
cookies_1g-99g,80,278,221,383,Cookies_1-99g_0311_NonHalal_5.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_5.png,N
cookies_1g-99g,92,130,232,365,Cookies_1-99g_0311_NonHalal_6.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_6.png,N
cookies_1g-99g,45,113,192,294,Cookies_1-99g_0311_NonHalal_7.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_7.png,N
cookies_1g-99g,94,131,228,349,Cookies_1-99g_0311_NonHalal_8.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_8.png,N
cookies_1g-99g,95,96,245,286,Cookies_1-99g_0311_NonHalal_9.png,cookies_1g-99g/Cookies_1-99g_0311_NonHalal_9.png,N
cookies_1g-99g,150,87,629,850,cookies_1g-99g_512.png,cookies_1g-99g/cookies_1g-99g_512.png,N
cookies_1g-99g,129,89,604,930,cookies_1g-99g_52.png,cookies_1g-99g/cookies_1g-99g_52.png,N
cookies_1g-99g,54,63,525,828,cookies_1g-99g_53.png,cookies_1g-99g/cookies_1g-99g_53.png,N
cookies_1g-99g,216,175,636,899,cookies_1g-99g_54.png,cookies_1g-99g/cookies_1g-99g_54.png,N
cookies_1g-99g,154,136,586,852,cookies_1g-99g_55.png,cookies_1g-99g/cookies_1g-99g_55.png,N
cookies_1g-99g,188,111,619,825,cookies_1g-99g_56.png,cookies_1g-99g/cookies_1g-99g_56.png,N
cookies_1g-99g,103,130,520,811,cookies_1g-99g_57.png,cookies_1g-99g/cookies_1g-99g_57.png,N
cookies_1g-99g,90,130,545,856,cookies_1g-99g_58.png,cookies_1g-99g/cookies_1g-99g_58.png,N
cookies_1g-99g,238,146,645,811,cookies_1g-99g_59.png,cookies_1g-99g/cookies_1g-99g_59.png,N
cookies_1g-99g,211,145,651,866,cookies_1g-99g_60.png,cookies_1g-99g/cookies_1g-99g_60.png,N
cookies_1g-99g,178,96,529,1089,cookies_1g-99g_a1.png,cookies_1g-99g/cookies_1g-99g_a1.png,Y
cookies_1g-99g,276,67,647,1094,cookies_1g-99g_a10.png,cookies_1g-99g/cookies_1g-99g_a10.png,Y
cookies_1g-99g,77,113,1526,1099,cookies_1g-99g_a11.png,cookies_1g-99g/cookies_1g-99g_a11.png,N
cookies_1g-99g,141,172,708,1059,cookies_1g-99g_a12.png,cookies_1g-99g/cookies_1g-99g_a12.png,N
cookies_1g-99g,149,85,1419,959,cookies_1g-99g_a13.png,cookies_1g-99g/cookies_1g-99g_a13.png,N
cookies_1g-99g,123,153,1423,1066,cookies_1g-99g_a14.png,cookies_1g-99g/cookies_1g-99g_a14.png,N
cookies_1g-99g,112,58,1508,1066,cookies_1g-99g_a15.png,cookies_1g-99g/cookies_1g-99g_a15.png,N
cookies_1g-99g,134,173,1440,1021,cookies_1g-99g_a16.png,cookies_1g-99g/cookies_1g-99g_a16.png,N
cookies_1g-99g,253,113,494,1037,cookies_1g-99g_a17.png,cookies_1g-99g/cookies_1g-99g_a17.png,Y
cookies_1g-99g,99,80,1357,951,cookies_1g-99g_a18.png,cookies_1g-99g/cookies_1g-99g_a18.png,N
cookies_1g-99g,138,109,1399,961,cookies_1g-99g_a19.png,cookies_1g-99g/cookies_1g-99g_a19.png,N
cookies_1g-99g,246,112,558,1088,cookies_1g-99g_a2.png,cookies_1g-99g/cookies_1g-99g_a2.png,Y
cookies_1g-99g,197,205,732,1060,cookies_1g-99g_a20.png,cookies_1g-99g/cookies_1g-99g_a20.png,N
cookies_1g-99g,132,88,1449,1036,cookies_1g-99g_a21.png,cookies_1g-99g/cookies_1g-99g_a21.png,N
