filepath,label,ProductType,Weight,HalalStatus,HealthStatus
IMG_3445_jpeg.rf.6b8d5dec72278d864e8ab3e8aed6526a.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3536_jpeg.rf.4c765f6ab9c37d13af1d3287c1f69b17.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
IMG_3443_jpeg.rf.8772f9489b54927f2bc9ee45fd900f81.jpg,Nuts_300-399g_Halal_NonHealthy,Nuts,300-399g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_1_png.rf.92fc19945072e7cf0e99f557f72a5585.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_8_png.rf.0ebe8d1a934be6ac6de56fae4badc1c2.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_7_png.rf.c92e6f3b2909bdf151052f2ad2f73211.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_2_png.rf.68cf5f4c14e6553c31ebd0fa72f60d3d.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_3_png.rf.2edc2d59ea2e6bf8c18481bb73d70437.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_5_png.rf.5b9fe625b0bc6e1fd510aff4d1f9a264.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_9_png.rf.c6afd0e616e8c1558623d9fd46f49785.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_6_png.rf.08b11a69bab8a641a4658a4b08f9ad54.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_10_png.rf.ad01ca67f35698e7d6aacc1323b88d98.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
Crackers_800-899g_0311_Halal_4_png.rf.f18644dcbfbb07ea1e8cf762e31b2d18.jpg,BiscuitsCrackersCookies_800-899g_Halal_NonHealthy,BiscuitsCrackersCookies,800-899g,Halal,NonHealthy
IMG_6477_jpeg.rf.2ea2997416bbf9ec51056939f04f22d0.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6472_jpeg.rf.16523c27e109a765fa18077f645249d2.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6474_jpeg.rf.3a2c41b5305c511fa5c5aa5a77cbac18.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6469_jpeg.rf.18d02f7ad78e8dae41b0d1944d83947a.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6458_jpeg.rf.79bc128665f129f09f23c55eb459510a.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6467_jpeg.rf.a9a065c736e3459315165ff3b05a9a70.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6476_jpeg.rf.523ba8907ec5058af0e3c3cf5df0d926.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6459_jpeg.rf.e2bdb5ea8c09eb9a92d488f4ff17c103.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6475_jpeg.rf.eaa31bb842a8daa981f0ab1d82ffa62d.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
IMG_6461_jpeg.rf.f0150fe3f237233cdbcf34b8bbff3699.jpg,HoneyOtherSpreads_300-399g_NonHalal_NonHealthy,HoneyOtherSpreads,300-399g,NonHalal,NonHealthy
20231222_0439.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0405.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0377.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0412.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0375.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0371.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0403.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0416.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0372.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
20231222_0428.jpg,SweetsChocolatesOthers_200-299g_Halal_NonHealthy,SweetsChocolatesOthers,200-299g,Halal,NonHealthy
IMG_6395_jpeg.rf.79d289c209bef1d45039bd34546c1560.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6393_jpeg.rf.9202c6eadc4cb3b228ae8d25d623ed20.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6411_jpeg.rf.190bfce012be88c09d226190f212c7b6.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6409_jpeg.rf.ad0dc01c16f3707bc0923e5809f13a42.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6408_jpeg.rf.bb8e674f900b6c32bb88ac4e0b068175.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6394_jpeg.rf.d1c9359c2994f42671c0b660c195442c.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6412_jpeg.rf.b5ed913dc8d7437b09a1abe7e62cec7b.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6410_jpeg.rf.c76035d7410a4c814ef4bfc6e5e5bd80.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6396_jpeg.rf.db9253a22c9d8682351a3fc74ce27c8e.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_6397_jpeg.rf.15fdaa45c94d11a789a48a1fe6a228d5.jpg,Coffee_200-299g_NonHalal_NonHealthy,Coffee,200-299g,NonHalal,NonHealthy
IMG_2346_JPG.rf.68fb8de104e61e031c2443355a21d05c.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_3304_jpeg.rf.15cf3a56f3bd0c596cfc128bb0727b30.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_3305_jpeg.rf.af107488b4578084bc2464bf073b757a.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_2345_JPG.rf.3f0912db0d765d0814f749db7c77c805.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_3306_jpeg.rf.20bc9212cbbf0893402748ac6a52b4af.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_2343_JPG.rf.2035ea3df441196b3dae3ecc51ebbb38.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_3307_jpeg.rf.62df1c023a72ba220e913a157f0d1b0e.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_2347_JPG.rf.8acd921baa4c4898275d43f407cafeaf.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_3308_jpeg.rf.605e40b9e843ec0e20b8416915281dff.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
IMG_2344_JPG.rf.e4d0470c156f6a892e2dbabba13b2047.jpg,BeehoonVermicelliMeesua_400-499g_Halal_Healthy,BeehoonVermicelliMeesua,400-499g,Halal,Healthy
output_frame_0451.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0452.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0453.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0454.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0455.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0456.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0457.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0459.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0460.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
output_frame_0461.png,CerealBeverage-powder_300-399g_Halal_Healthy,CerealBeverage-powder,300-399g,Halal,Healthy
